sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
321,28.3,Yargıtay,10,9272,2020,5596,2021-04-20,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... Bölge Adliye Mahkemesi ...Hukuk Dairesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle asıl dava dosyası yönünden davalı ... hakkındaki davanın husumet nedeniyle reddine, diğer davalılar açısınd"
322,28.3,Yargıtay,21,5112,2017,3288,2019-04-30,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,TAZMİNAT DAVASI - MADEN KAZASI GİBİ TOPLUMU DERİNDEN ETKİLEYEN FACİALARDA İLE HÜKÜM ALTINA ALINAN MANEVİ TAZMİNAT TUTARLARI DEĞERLENDİRİLİRKEN MANEVİ TAZMİNATIN CAYDIRICILIK UNSURUNUN ÖNE ÇIKMASI GERE,"(6331 S. K. m. 4, 5) (818 S. K. m. 332,417) (4857 S. K. m. 2, 77) (YHGK. 09.10.2013 T. 2013/21-102 E. 2013/1456 K.) (YHGK. 20.03.2013 T. 2012/21-1121 E. 2013/386 K.) &nbsp; Davacılar murisinin, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. &nb"
323,28.3,Yargıtay,4,11626,2023,2868,2024-03-19,gebe+illiyet,gebe×9 | travma×3 | illiyet×12 | cenin/düşük,YARGITAY KARARI,MAHKEMESİ :Asliye Hukuk Mahkemesi SAYISI : 2019/165 E. 2023/54 K. DAVA TARİHİ : 29.04.2010 HÜKÜM/KARAR : Red Taraflar arasındaki rücuen tazminat davasından dolayı yapılan yargılama sonunda İlk Derece Mahkemesince davanın kabulüne karar verilmiştir. Kararın davalı vekili tarafından temyizi üzerine Da
324,28.3,Yargıtay,10,2710,2021,1080,2022-01-25,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, (kapatılan) 21. Hukuk Dairesinin bozma kararına uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davalı ... Genel Müdürlüğü vekili tarafından temy"
325,28.3,Yargıtay,21,120,2020,1725,2020-06-01,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 7. Hukuk Dairesi TÜRK MİLLETİ ADINA K A R A R A)Davacı İstemi Davacılar asıl dava dosyasında; eş için 138.620,35 TL maddi, 300.000,00 TL manevi, eşin önceki evliliğinden olma davacı çocuk için 1.000,00 TL maddi, 80.000,00 TL manevi, birleşen 2015/74 Esas sayılı "
326,28.3,Yargıtay,21,100,2019,7204,2019-11-26,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi A)Davacı İstemi Davacılar dava dilekçesi ve ıslah ile eş için 204.871,26 TL maddi, 190.000,00 TL manevi, çocuk İbrahim için 25.998,23 TL maddi, 145.00,00 TL manevi, çocuk ... için 57.097,99 TL maddi, 145.000,00 TL manevi, kar"
327,28.3,Yargıtay,10,8797,2020,7332,2021-06-01,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davalı ... vekili tarafından istinaf yoluna başvurulması üzerine, İzmir Bölge Adliye"
328,28.3,Yargıtay,21,2705,2019,819,2020-02-17,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Asıl ve Birleşen Mahkemenin 2018/287 Esas sayılı davası bakımından; TÜRK MİLLETİ ADINA Asıl ve birleşen dava bakımından; Davacılar, iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme, bozmaya uyarak ilamında belirtild"
329,28.3,Yargıtay,21,5961,2018,5431,2019-09-24,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ...Hukuk Dairesi TÜRK MİLLETİ ADINA Asıl ve Birleşen dava dosyaları bakımından davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davacılar ...,"
330,28.3,Yargıtay,10,4217,2021,1928,2022-02-15,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine istemine ilişkindir. Mahkemece, (kapatılan) 21. Hukuk Dairesinin bozmaya uyularak ilamda belirtildiği şekilde, birleşen 2014/812 Esas 2016/830 Karar sayılı dava dosyasının davalısı .... yönünden feragat neden"
331,28.3,Yargıtay,10,755,2021,7330,2021-06-01,gebe+illiyet,gebe×1 | travma×17 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: Ankara 29. İş Mahkemesi Dava, iş kazasından kaynaklanan manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davacılar ile davalı ... tarafından istinaf yoluna başvurulması üzerine, Ankara Bölge "
332,28.3,Yargıtay,21,90,2019,6728,2019-11-11,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi MAHKEMESİ: İş Mahkemesi Davacılar, murisinin işkazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... Genel Müdürlü"
333,28.3,Yargıtay,21,6436,2019,2162,2020-06-11,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:... Bölge Adliye Mahkemesi 8. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar, murisinin iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kısmen kabulüne karar verilmesi üzerine davalılardan ... Genel Müdürlüğü vekilinc"
334,28.3,Yargıtay,21,230,2020,1729,2020-06-01,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Bölge Adliye Mahkemesi 7. Hukuk Dairesi TÜRK MİLLETİ ADINA Davacılar, murisinin işkazası sonucu ölümünden doğan maddi tazminatın ödetilmesine karar verilmesini istemiştir.İlk Derece Mahkemesince davanın kabulüne karar verilmesi üzerine davalılardan TKİ vekilince istinaf kanun yoluna b"
335,28.3,Yargıtay,21,4223,2018,4927,2019-09-10,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 7. Hukuk Dairesi İLK DERECE MAHKEMESİ: Soma İş Mahkemesi TÜRK MİLLETİ ADINA K A R A R A)Davacı İstemi; Davacılar vekili dava ve ıslah dilekçeleri ile eş için 135.337,92 TL maddi, 150.000,00 TL manevi, çocuk Mehmet için 67.355,44 TL maddi, 120.000,00 TL manevi,"
336,28.3,Yargıtay,10,8799,2020,7333,2021-06-01,gebe+illiyet,gebe×1 | travma×13 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi : Soma İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davalı ... vekili tarafından istinaf yoluna başvurulması üzerine, İzmir Bölge Adli"
337,28.3,Yargıtay,10,13019,2021,1510,2022-02-08,gebe+illiyet,gebe×1 | travma×14 | illiyet×9 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. Mahkemece, bozmaya uyularak ilamda belirtildiği şekilde asıl dava dosyasının davalılarından .... hakkındaki davanın husumet nedeniyle reddine, diğer davalılar yönünden davanın kısmen kabulüne kara"
338,28.2,Yargıtay,3,262,2024,4050,2024-12-03,gebe+illiyet,gebe×20 | travma×2 | illiyet×53 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: Antalya Bölge Adliye Mahkemesi 3. Hukuk Dairesi SAYISI: 2023/235 E., 2023/2038 K. İLK DERECE MAHKEMESİ: Antalya 2. Tüketici Mahkemesi SAYISI: 2021/470 E., 2022/656 K. Taraflar arasındaki maddi manevi tazminat davasından dolayı yapılan yargılama sonunda İlk Derece Mahkemesince maddi tazmin"
339,28.2,Yargıtay,HG,1904,2016,1037,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 2. İş Mahkemesince davanın kısmen kabulüne dair verilen 20.05.2015 tarihli ve 2014/925 E., 2015/321 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine "
340,28.2,Yargıtay,HG,1534,2016,1026,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kabulüne dair verilen 28.05.2015 tarihli ve 2014/1696 E., 2015/1090 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine Yargı"
341,28.2,Yargıtay,HG,2147,2016,1029,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kısmen kabulüne dair verilen 28.05.2015 tarihli ve 2014/1694 E., 2015/1088 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerin"
342,28.2,Yargıtay,HG,1902,2016,1035,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 2. İş Mahkemesince davanın kısmen kabulüne dair verilen 20.05.2015 tarihli ve 2014/923 E., 2015/319 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine "
343,28.2,Yargıtay,HG,2398,2016,1030,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kabulüne dair verilen 28.05.2015 tarihli ve 2014/1698 E., 2015/1092 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine Yargı"
344,28.2,Yargıtay,HG,1901,2016,1034,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 2. İş Mahkemesince davanın kısmen kabulüne dair verilen 20.05.2015 tarihli ve 2014/922 E., 2015/318 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine "
345,28.2,Yargıtay,HG,1903,2016,1036,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 2. İş Mahkemesince davanın kısmen kabulüne dair verilen 20.05.2015 tarihli ve 2014/924 E., 2015/320 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine "
346,28.2,Danıştay,10,5326,2021,1519,2025-03-11,gebe+illiyet,gebe×30 | travma×2 | illiyet×27 | cenin/düşük,DANIŞTAY KARARI,T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2021/5326 KararNo : 2025/1519 TEMYİZ EDEN (DAVACI): ...'ya velayeten ...ve ... VEKİLİ: Av. ... KARŞI TARAF (DAVALI): ... Bakanlığı / ANKARA VEKİLİ: Av. ... MÜDAHİL (DAVALI YANINDA): ... İSTEMİN_KONUSU: ... Bölge İdare Mahkemesi ... İdari Dava Dairesinin ..
347,28.2,Yargıtay,HG,239,2017,1038,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kısmen kabulüne dair verilen 28.05.2015 tarihli ve 2014/1693 E., 2015/1087 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerin"
348,28.2,Yargıtay,HG,2762,2016,1033,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kabulüne dair verilen 28.05.2015 tarihli ve 2014/1691 E., 2015/1085 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerine Yargı"
349,28.2,Danıştay,15,2076,2018,170,2019-01-17,gebe+illiyet,gebe×29 | travma×2 | illiyet×5 | TCK 87/88 | obstetrik komp.,DANIŞTAY KARARI,"İSTEMİN KONUSU: Antalya 2. İdare Mahkemesinin 27/12/2017 tarih ve E:2015/179, K:2017/1613sayılı kararının temyizen incelenerek bozulması istenilmektedir. &nbsp; YARGILAMA SÜRECİ: &nbsp; Dava konusu istem: Davacı annenin gebelik takibinin ve bebeğinin doğumunun tıbbi esaslara uygun yapılmadığı, sezar"
350,28.2,Yargıtay,HG,1538,2016,1028,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kısmen kabulüne dair verilen 28.05.2015 tarihli ve 2014/1697 E., 2015/1091 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerin"
351,28.2,Yargıtay,HG,2400,2016,1032,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kısmen kabulüne dair verilen 28.05.2015 tarihli ve 2014/1700 E., 2015/1094 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerin"
352,28.2,Yargıtay,HG,1537,2016,1027,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kısmen kabulüne dair verilen 28.05.2015 tarihli ve 2014/1687 E., 2015/1081 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerin"
353,28.2,Yargıtay,HG,2399,2016,1031,2019-10-10,hamile+düşük,gebe×6 | travma×30 | illiyet×1 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Taraflar arasındaki “işçilik alacağı” davasından dolayı yapılan yargılama sonunda Diyarbakır 1. İş Mahkemesince davanın kısmen kabulüne dair verilen 28.05.2015 tarihli ve 2014/1688 E., 2015/1082 K. sayılı kararın temyizen incelenmesi davalı vekili tarafından istenilmesi üzerin"
354,28.1,Anayasa,1,36427,2018,,2021-10-06,gebe+travma,gebe×1 | travma×28 | illiyet×3 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 6/10/2021 TARİHLİ VE 2018/36427 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(AİHS m. 2, 3, 5) (2709 S. K. m. 2, 3, 5, 13, 17, 19, 20, 36, 141) (6216 S. K. m. 47) (4721 S. K. m. 606) &nbsp;(667 S. KHK m. 6) (Anayasa Mahkemesi İçtüzüğü m. 80) (YURTSEVER VE DİĞERLERİ - TÜRKİYE DAVASI) (MEVLÜT CAN VE DİĞERLERİ - TÜRKİYE DAVASI) (MEHMET KAYA VE DİĞERLERİ - TÜRKİYE DAVASI) (ANY. "
355,28.1,Yargıtay,CG,196,2014,2107,2016-12-20,gebe+illiyet,gebe×1 | travma×8 | illiyet×4 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 11. Ceza Dairesi Mahkemesi:Asliye Ceza Günü: 01.07.2010 Sayısı: 277-611 Sanık hakkında resmi belgede sahtecilik suçundan açılan kamu davasında yapılan yargılama sonucu, eylemin 765 sayılı TCK'nun 354. maddesi kapsamında kaldığı kabul edilerek 765 sayılı TCK'nun 102/4 v"
356,28.1,Yargıtay,21,2513,2019,7438,2019-12-03,gebe+illiyet,gebe×3 | travma×20 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: Bölge Adliye Mahkemesi 9. Hukuk Dairesi TÜRK MİLLETİ ADINA KARAR A)Davacı İstemi; Davacı vekili iş kazası sonucu ölen sigortalının davacı annesinin maddi ve manevi zararlarının giderilmesini talep etmiştir. B)Davalıların Cevapları; Davalı ... vekili davanın reddine karar verilmesini talep"
357,28,Danıştay,2,17637,2021,2143,2025-04-30,hamile+düşük,gebe×8 | travma×6 | illiyet×2 | TCK 87/88 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y İKİNCİ DAİRE EsasNo : 2021/17637 KararNo : 2025/2143 DAVACI : ... Sendikası VEKİLİ: Av. H... DAVALILAR : 1- ... 2- ... Bakanlığı VEKİLİ : Hukuk Müşaviri ... DAVANINKONUSU: Davacı Sendika tarafından, 30/06/2021 günlü, 31527 sayılı Resmi Gazete'de yayımlanan Aile Hekimliği Sözleşm"
358,28,Anayasa,GK,1-3,1992,1,1993-07-14,gebe+illiyet,gebe×4 | travma×17 | illiyet×113 | TCK 87/88,"ANAYASA MAHKEMESİNİN E: 1992/1 (SİYASİ PARTİ KAPATMA), K: 1993/1 SAYILI KARARI","*** NOT: ANAYASA MAHKEMESİNİN E: 1992/1 (SİYASİ PARTİ KAPATMA), K: 1993/1 SAYILI KARARI UZUNLUĞU NEDENİYLE 1. BÖLÜMÜ 1992/1-1, 2. BÖLÜMÜ 1992/1-2, 3. BÖLÜMÜ 1992/1-3, 4. BÖLÜMÜ 1992/1-4, 5. BÖLÜMÜ 1992/1-5 ESAS NO&#39;SU İLE OLMAK ÜZERE BEŞ PARÇA HALİNDE PROGRAMA GİRİLMİŞTİR. KARARIN DİĞER PARÇALARI"
359,28,Yargıtay,CG,217,2023,74,2025-02-13,gebe+illiyet,gebe×4 | travma×136 | illiyet×29 | TCK 87/88,YARGITAY KARARI,"İtirazname No: 2020/15511 KARARI VEREN YARGITAY DAİRESİ : 3. Ceza Dairesi MAHKEMESİ :Ceza Dairesi SAYISI: 246-677 I. HUKUKÎ SÜREÇ Sanıklar ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ..., ... ve ...'in Anayasayı ihlal s"
360,28,Anayasa,GK,1-4,1997,1,1998-01-16,gebe+illiyet,gebe×4 | travma×13 | illiyet×46 | TCK 87/88,"ANAYASA MAHKEMESİNİN E: 1997/1 (SİYASİ PARTİ KAPATMA), K: 1998/1 SAYILI KARARI","*** NOT: ANAYASA MAHKEMESİNİN E: 1997/1 (SİYASİ PARTİ KAPATMA), K: 1998/1 SAYILI KARARI UZUNLUĞU NEDENİYLE 1. BÖLÜMÜ 1997/1-1, 2. BÖLÜMÜ 1997/1-2, 3. BÖLÜMÜ 1997/1-3, 4. BÖLÜMÜ 1997/1-4, 5. BÖLÜMÜ 1997/1-5 ESAS NO&#39;SU İLE OLMAK ÜZERE BEŞ PARÇA HALİNDE PROGRAMA GİRİLMİŞTİR. KARARIN DİĞER PARÇALARI"
361,28,Danıştay,10,6932,2019,1750,2021-04-12,gebe+illiyet,gebe×6 | travma×5 | illiyet×10 | cenin/düşük,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2019/6932 Karar No : 2021/1750 TEMYİZ EDEN (DAVACILAR) : 1- … 2- … VEKİLLERİ: Av. … TEMYİZ EDEN (DAVALI): … Bakanlığı (Mülga … Kurumu) VEKİLLERİ : Hukuk Müşaviri …, Hukuk Müşaviri … TEMYİZ EDEN MÜDAHİL (DAVALI) : … VEKİLLERİ : Av. …, Av. … İSTEMLERİN_KONUS"
362,28,Yargıtay,CG,360,2021,363,2022-05-18,gebe+travma,gebe×8 | travma×39 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Mahkemesi:Ceza Dairesi Zincirleme şekilde çocuğun nitelikli cinsel istismarı suçundan TCK'nın 103/2-1.cümle, 43/1, 62, 53 ve 63. maddeleri uyarınca 16 yıl 8 ay hapis; reşit olmayanla cinsel ilişki suçundan aynı Kanun'un 104/1, 43/1, 62 ve 53. uyarınca 2 yıl 1 ay hapis cezasıyla cezalandırılmasına, h"
363,27.9,Anayasa,1,17591,2014,,2017-04-19,gebe+travma,gebe×3 | travma×236 | illiyet×2 | TCK 87/88 | cenin/düşük,ANAYASA MAHKEMESİNİN 19/4/2017 TARİHLİ VE 2014/17591 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHS. m. 1, 2, 3) (2709 S. K. m. 17, 148) (5271 S. K. m. 172) (2559 S. K. m. 13, 16) (5237 S. K .m. 24, 25) (6216 S. K. m. 45, 46, 50) RGT: 31.05.2017 RG NO: 30082 BİRİNCİ BÖLÜM KARAR ESMA ÇELEBİ BAŞVURUSU Başvuru Numarası: 2014/17591 Karar Tarihi: 19/4/2017 Başkan: Burhan ÜSTÜN Üyeler: Hicabi DURS"
364,27.9,Anayasa,GK,66,2003,72,2005-10-19,hamile+düşük,gebe×3 | travma×15 | illiyet×2 | TCK 87/88 | cenin/düşük,"ANAYASA MAHKEMESİNİN E: 2003/66 (4857 SAYILI KANUN İLE İLGİLİ), K: 2005/72 SAYILI KARARI","(4857 S. K. m. 7, 14, 18, 20, 21, 41, 63, 66, 99, 111) (2709 S. K. m. 2, 5, 6, 7, 10, 11, 13, 18, 36, 37, 48, 49, 50, 51, 53, 54, 55, 56, 60, 124) (2822 S. K. m. 39) (506 S. K. m. 32) (1086 S. K. m. 516, 517, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 530, 531, 532, 533, 534, 535, 5"
365,27.8,Yargıtay,4,21142,2021,2422,2023-02-23,gebe+travma,gebe×4 | travma×3 | illiyet×5 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 4. Hukuk Dairesi SAYISI: 2019/858 E., 2021/1438 K. HÜKÜM/KARAR: İstinaf Başvurusunun Kabulü ile Davanın Reddine İLK DERECE MAHKEMESİ: Turgutlu 1. Asliye Hukuk Mahkemesi SAYISI: 2018/10 E., 2018/948 K. Taraflar arasındaki basın yoluyla kişilik haklarına saldırı"
366,27.6,Yargıtay,10,6234,2021,11267,2022-09-27,gebe+illiyet,gebe×2 | travma×22 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi :... 1. Asliye Hukuk (İş) Mahkemesi Dava, iş kazasından kaynaklanan maddi ve manevi tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davalı ... Yapı ve Endüstri Ltd. Şti. vekili tarafından istinaf yolun"
367,27.6,Yargıtay,21,18430,2016,2773,2017-04-04,gebe+illiyet,gebe×2 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacı, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün davalı ... A.Ş vekili tarafından temyiz edilmesi üzerine temyiz isteğ"
368,27.6,Yargıtay,21,21760,2015,15697,2016-12-28,gebe+illiyet,gebe×2 | travma×13 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacı, iş kazası sonucu maluliyetinden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin reddine karar vermiştir. Hükmün davacı vekili tarafından temyiz edilmesi üzerine temyiz isteğinin süresinde olduğu"
369,27.6,Yargıtay,21,21005,2015,340,2017-01-23,gebe+illiyet,gebe×2 | travma×11 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:Asliye Hukuk (İş) Mahkemesi Davacı, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün, davacılar ve davalılardan ... Sigorta A.Ş. vekillerin"
370,27.6,Yargıtay,21,18255,2016,2423,2018-03-19,gebe+illiyet,gebe×2 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacılar, murisinin iş kazası sonucu ölümünden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin reddine karar vermiştir. Hükmün, davacılar vekili tarafından temyiz edilmesi üzerine temyiz isteğinin süre"
